status,pattern_type,priority,project_code,sheet,column,category,reconstructed_missing,original_missing,affected_values,example_original,example_reconstructed,explanation,review_recommendation,assessment
,field_value,LOW,GAZP3,site,drange,expected_schema_loss,TRUE,FALSE,1,16.4,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,elevation,expected_schema_loss,TRUE,FALSE,1,1220,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,invasiveform,expected_schema_loss,TRUE,FALSE,1,agrass,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,iso,expected_schema_loss,TRUE,FALSE,1,4.1,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,landcover,expected_schema_loss,TRUE,FALSE,1,sc2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,mtcold,expected_schema_loss,TRUE,FALSE,1,-8.7,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,mtwarm,expected_schema_loss,TRUE,FALSE,1,30.4,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,pcoldq,expected_schema_loss,TRUE,FALSE,1,81,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,pdry,expected_schema_loss,TRUE,FALSE,1,10,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,pdryq,expected_schema_loss,TRUE,FALSE,1,40,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,precip,expected_schema_loss,TRUE,FALSE,1,270,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,pseason,expected_schema_loss,TRUE,FALSE,1,28,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,pwarmq,expected_schema_loss,TRUE,FALSE,1,50,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,pwet,expected_schema_loss,TRUE,FALSE,1,31,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,pwetq,expected_schema_loss,TRUE,FALSE,1,90,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,slope,expected_schema_loss,TRUE,FALSE,1,3.587671339,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,tcoldq,expected_schema_loss,TRUE,FALSE,1,-1.8,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,tdryq,expected_schema_loss,TRUE,FALSE,1,17.5,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,temp,expected_schema_loss,TRUE,FALSE,1,7.9,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,trange,expected_schema_loss,TRUE,FALSE,1,39.1,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,tseason,expected_schema_loss,TRUE,FALSE,1,775.5,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,twarmq,expected_schema_loss,TRUE,FALSE,1,18.2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,twetq,expected_schema_loss,TRUE,FALSE,1,-1.2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,mapping_status,LOW,GAZP3,site,reconstruction_status,documented_partial_reconstruction,,,1,,partial; environmental fields not stored in Supabase,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,field_value,LOW,GAZP3,study,country,controlled_vocabulary_normalization,FALSE,FALSE,1,USA,United States of America,The source and SQL values use different labels for the same geographic vocabulary.,Document as expected unless the schema should retain this field.,
,mapping_status,LOW,GAZP5,refs,reconstruction_status,documented_partial_reconstruction,,,1,,partial; full source author string not stored,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,field_value,LOW,GAZP5,study,country,controlled_vocabulary_normalization,FALSE,FALSE,1,USA,United States of America,The source and SQL values use different labels for the same geographic vocabulary.,Document as expected unless the schema should retain this field.,
